날짜,확진자수,사망자수,지역,위도,경도
2020-04-28 09:00:00.000,142,0,충청남도,36.476515,127.082977
2020-04-28 09:00:00.000,18,0,전라북도,35.95133,126.951141
2020-04-28 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-28 09:00:00.000,1365,52,경상북도,35.837855,129.173126
2020-04-28 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-04-28 09:00:00.000,674,14,경기도,37.26389,127.179108
2020-04-29 09:00:00.000,633,2,서울특별시,37.56667,126.97806
2020-04-29 09:00:00.000,137,3,부산광역시,35.17944,129.07556
2020-04-29 09:00:00.000,6852,171,대구광역시,35.87222,128.6025
2020-04-29 09:00:00.000,93,0,인천광역시,37.45639,126.70528
2020-04-29 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-29 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-04-29 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-29 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-29 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-29 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-29 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-29 09:00:00.000,143,0,충청남도,36.476515,127.082977
2020-04-29 09:00:00.000,18,0,전라북도,35.95133,126.951141
2020-04-29 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-29 09:00:00.000,1365,52,경상북도,35.837855,129.173126
2020-04-29 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-04-29 09:00:00.000,676,15,경기도,37.26389,127.179108
2020-04-30 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-04-30 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-04-30 09:00:00.000,93,0,인천광역시,37.45639,126.70528
2020-04-30 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-04-30 09:00:00.000,137,3,부산광역시,35.17944,129.07556
2020-04-30 09:00:00.000,633,2,서울특별시,37.56667,126.97806
2020-04-30 09:00:00.000,6852,172,대구광역시,35.87222,128.6025
2020-04-30 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-04-30 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-04-30 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-04-30 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-04-30 09:00:00.000,143,0,충청남도,36.476515,127.082977
2020-04-30 09:00:00.000,18,0,전라북도,35.95133,126.951141
2020-04-30 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-04-30 09:00:00.000,1365,52,경상북도,35.837855,129.173126
2020-04-30 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-04-30 09:00:00.000,676,15,경기도,37.26389,127.179108
2020-05-01 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-05-01 09:00:00.000,634,2,서울특별시,37.56667,126.97806
2020-05-01 09:00:00.000,137,3,부산광역시,35.17944,129.07556
2020-05-01 09:00:00.000,6852,172,대구광역시,35.87222,128.6025
2020-05-01 09:00:00.000,94,0,인천광역시,37.45639,126.70528
2020-05-01 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-05-01 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-05-01 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-05-01 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-05-01 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-05-01 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-05-01 09:00:00.000,1366,52,경상북도,35.837855,129.173126
2020-05-01 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-05-01 09:00:00.000,678,16,경기도,37.26389,127.179108
2020-05-01 09:00:00.000,143,0,충청남도,36.476515,127.082977
2020-05-01 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-05-01 09:00:00.000,18,0,전라북도,35.95133,126.951141
2020-05-02 09:00:00.000,635,2,서울특별시,37.56667,126.97806
2020-05-02 09:00:00.000,138,3,부산광역시,35.17944,129.07556
2020-05-02 09:00:00.000,6852,174,대구광역시,35.87222,128.6025
2020-05-02 09:00:00.000,95,0,인천광역시,37.45639,126.70528
2020-05-02 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-05-02 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-05-02 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-05-02 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-05-02 09:00:00.000,53,2,강원도,37.757687,128.873749
2020-05-02 09:00:00.000,45,0,충청북도,36.995972,127.926178
2020-05-02 09:00:00.000,143,0,충청남도,36.476515,127.082977
2020-05-02 09:00:00.000,18,0,전라북도,35.95133,126.951141
2020-05-02 09:00:00.000,15,0,전라남도,34.946739,127.698212
2020-05-02 09:00:00.000,1366,52,경상북도,35.837855,129.173126
2020-05-02 09:00:00.000,117,0,경상남도,35.498692,128.747406
2020-05-02 09:00:00.000,678,16,경기도,37.26389,127.179108
2020-05-02 09:00:00.000,13,0,제주특별자치도,35.958,126.712189
2020-05-03 09:00:00.000,40,0,대전광역시,36.35111,127.385
2020-05-03 09:00:00.000,30,0,광주광역시,35.15972,126.85306
2020-05-03 09:00:00.000,95,0,인천광역시,37.45639,126.70528
2020-05-03 09:00:00.000,637,2,서울특별시,37.56667,126.97806
2020-05-03 09:00:00.000,138,3,부산광역시,35.17944,129.07556
2020-05-03 09:00:00.000,43,1,울산광역시,35.53889,129.31667
2020-05-03 09:00:00.000,6856,174,대구광역시,35.87222,128.6025
2020-05-03 09:00:00.000,46,0,세종특별자치시,36.4875,127.28167
2020-05-03 09:00:00.000,1366,52,경상북도,35.837855,129.173126
2020-05-03 09:00:00.000,53,2,강원도,37.757687,128.873749
