날짜,리뷰
2022-12-25,"색도 완전 밝은 아이보리라서 예뻐요

투웨이 집업 이런스타일 옷 사보고 싶었는데

잘 산거 같아요

다만 약간 지퍼가 부드럽진 않아요

소매도 폼이 좀 크고

그래도 생각보단 만족합니당 ㅎㅎ"
2022-12-21,엄청커요! 전 오버핏사이즈를 오히려 좋아해서 만족스러웠습니당 지퍼형식도 요즘 트렌드라 좋았어용 다만 강아지나 고양이 키우시는분들은 조심..벌써 옷 군데군데 발톱때매 실잡이 튀나왔어요..
2022-12-20,생각보다 더 도톰하고 예뻤어요 ㅎㅎ 색감도 생각했던 그대로 ! 네이비 어무 예뻐요 ㅎㅎ 아 근데 냄새가 진짜 .. 너어무 안 빠지더라구요 .. 밖에 이틀 걸어뒀는데도 냄새가 안 빠져서 향수 엄청 뿌리고 스타일러 돌리고 하느라 첫 개시까지 좀 오래걸렸어요 ㅋㅋㅋ ㅠㅠ 그거 하나 빼면 다 만족합니다 !
2022-12-16,약간 퀭퀭퀭한 공장냄새가 나긴 하는데 페브리즈 뿌려주니 좀 빠지긴했어요 여행가서 입으려고 급하게 샀는데 배송고 빠르게왔고 예쁘게 잘 입고 다녔어요 냄새에 민감한사람 아니면 강추합니다 !
2022-11-25,니트 짜임도 괜찮고 새옷 특유의 냄새도 적었습니다~ 자크 부분이 살에 닿으니 차가워서 나시 입고 입었더니 딱 좋은 것 같아요! 투웨이 지퍼라서 밑에 살짝 열어주고 입으면 날씬해보이고 좋아요 굳
2022-11-23,"와아아 편하게 입고 싶어서 샀는데 만족!!
색감도 화면이랑 똑같고 엄청 폭도커서 만족 ㅠㅠ
팔이 조금 길긴한데 더 말라보이고 좋아요 ㅋㅋㅋㅋ
힙하게 입기좋아서 다른 색상도 살랴구요~~"
2022-11-16,"도톰하고 아주 살짝 무겁습니다. 
팔부분이 커서 겉옷입기도, 뭐먹을때도 좀 불편하구여
지퍼가 싸구려느낌인데 버벅임 없이 잘돼여 신기
뚠뚠한편인데 그냥 오버핏느낌으로 보야서 괜찮습니다 어짜피 날씬해보이는건 기대 안했으니까염 난 뚠뚠하니께
다만 냄새 진짜 외국인암내나요 왜이런냄새가 날까오..? 하루 꼬박 밖에 걸어놔도 냄시나네여 빨긴싫은데ㅜ"
2022-11-14,처음에 왔을 때 냄새가 .. 너무 심해서 입지도 못할 정도라 바로 드라이부터 맡겼고 그러고 나니 냄새가 좀 빠졌어요ㅠㅠ 냄새가 악간 암내..? 비슷해서.. 그래도 이쁘고 품이나 길이도 원하는 핏이라서 만족해요!
2022-11-12,데일로 입기 좋규 안에 레이어드 티랑 같이 입고 하면 딱 이쁠거 같아여 제가 원하는 핏과 느낌이라서 아주 맘에 들어요! 색도 베이지 잘 고른거 같아여!
2022-11-09,"넘 이쁨

도톰해서 6-9도에 입고 다녀도 춥지 않음(보풀 잘 일 것 같은데 보풀제거기가 잘 먹는 스타일이라 ㄱㅊ)

상체 마른 편인데도 170 키에는 모델핏 안 나와요! 그냥 정사이즈입니다 그것도 나름대로의 매력이 있어서 저는 만족"
2022-11-08,생각보다 소매가 엄청엄청 길어요 엉덩이 반정도 와서 흰티랑 레이어드하기 딱 좋은 길이에요 처음 입기 전에 뒤집어서 탈탈 털어주고 입어야 옷에 검정 실이 좀 덜 묻어요 한번 털고 입어야 흰티에 자잘자잘하게 묻어나오는게 없어요 잘 입을게용
2022-11-06,일단 생각보다 얇고 짜임이 도톰한편은 아니지만 색감이 이쁨 그래서 잘 입고 댕김 베이지색도 살까 심각하게 고민중임 너무너무너무너무너무 크기랑 색깔 맘에듬 아이보리색은 화면보다 더 밝은데 나름대로 괜찮음 아무튼 이쁨 나만 지퍼가 잘 안돼는건지 모르겠는데 밑에 지퍼 끝까지 뺄때 잘 안됌 그것만 빼면 괜찬ㅅ음 추천함 조금 더 두꺼운 짜임이었으면 좋겠음
2022-11-02,"정말 배송도 너무너무 빠르고 좋았어여 
생각보다 코디하기도 쉽고 따뜻해서 긴팔입고 조금 쌀쌀한 날씨에도 입고 나갈 수 있고 트랜디하게 코디도 가능해서 자주 애용하고 있습니당 
색깔 고민을 너무너무 많이 했는데 회색 잘 산 곳 같아요 흼밪도 예쁘고 검은색 카키색 다 잘 어울려서 정말 잘 삼 것 같아용 
그리고 배송은 어찌나 또 빠른지 지방에 사는데 거의 다음날에 바로 받았어용 데쥬는 항상 저렴한 가격으로 높은 퀄리틸를 자랑해서 정말 자주 구매하고 있는 쇼핑몰이에요 
근데 아쉬운 건 살짝 생각보다 큰 느낌의 기장이어서 팔이 짧은 저에게 조금 많이 컸어영 그리고 냄새도 많이 났어요..ㅠㅠ 한번 빨래를 해도 아직 냄새가 남아 있어서 한번 더 빨아야 냄새가 다 빠질 것 같아요…ㅠㅠㅠ 근데 색감이랑 디자인이 너무 좋아서 자주 입고 다니고 있습니당"
2022-11-01,"생각보다 넉넉해서 너무 맘에 들었고 제일 마음에 든 건 배송이었어요! 배송 너무 빨라서 좋았고 옷 핏도 예쁘고 다 좋았으나 냄새가 좀 나고 지퍼가 너무 뻑뻑해요ㅠㅠ
잘못하다간 옷 찢어먹을듯..!"
2022-10-29,투웨이 지퍼인게 너무 포인트로 이쁘고 아래에 바지를 입었을 때 답답하지않게 열 수 있어서 좋아요 ㅎㅎ 날씨가 너무 추울때 입기에는 바람이 송송 들어와서 두꺼운 아우터는 아니지만 휘뚜루마뚜루 입기 좋아요!!
2022-10-26,"첨 꺼냈을때 식초?같은 쉰내가 나긴했는데
세탁하니 사라졌구요 그거말곤 그냥
퍼펙❤️🙌🏻 뭐랄까 좀 커서 힙할줄 알았는데
뭔가 힙하면서도 그냥 니트집업만 입으면 여성스러워져요 저는 완전 대만족입니다."
2022-10-23,"……후기가 일단 퀄리티떨어진단 얘기가많이 기대를 안해서그런지 어쨌든 저는 자크부터 마감처리 전부다 괜찮았고, 식초냄샌 바로빠지더라구요, 핏이 예술이라 깔별로 구매예정입니다. 찬바람 불면 춥고, 나시만입고 입었는데 실내에 움직이면 살짝 더워요."
2022-10-22,"입고 나서야알았는데 투웨이 집업이 아니라 원웨이…
근데 그렇게 입어도 예뻐서 별 다섯개 했어요 ㅋㅋㅋㅋ 허리에 딱 걸쳐서 펑퍼짐 하지도 않고 예쁘구요 소매도 길고 따듯해요 지금 날씨엔 짜임이 커서 단독으로 입기엔 추워요 짜임 커서 핏은 예쁩니다 긴팔이랑 같이 입으세요!"
2022-10-20,"블루 재입고됐다는 문자 받고 바로 구입했어요!
한번밖에 안입었지만 아직까진 넘 만족해용
색상은 나와있는거보단 살짝 더 밝은거같고 제가 팔이 짧은편이라 그런지 소매가 엄청 길고 통이 커서 흘러내리면서 접히는데 그게 안예뻐보여서 조금 아쉬워요
그래도 가격 색상 퀄리티 모두 만족~!~
다른색도 살까 고민중이에용 ㅎㅅㅎ"
2022-10-19,"제가 생각했던 디자인, 크기 그대로여서 너무 좋았어요!! 크게 입고 싶었는데 딱 마음이 들게 크더라구요. 새옷이라 약간 공장냄새가 나긴 하는데 한 번 입고 밖에서 바람 맞으면 냄새 다 빠져요. 
아래 지퍼가 조금 뻑뻑하긴 한데 불편한 정도는 아니구요! 처음에 잔털들이 조금 빠지니까 털고 입으시는게 좋을 것 같아요!
옷도 따뜻하고 너무 좋습니다 :) 잘 입겠습니다❤️"
2022-10-19,"작년에 처음으로 아이보리 구매 했다가 이번엔 그레이로 재구매했어요 ! 그만큼 데일리로 입기 디자인도 깔끔하고 편한, 따뜻한 것 같아요 :) 아이보리를 잘 입었어서 ! 다른 색상 있으면 좋을 것 같아서 또 구매했네요 예상대로 그레이 색상도 잘 입고 다닙니다 ☺️ 다만 아무래도 투웨이 지퍼라서 밑 지퍼가 살짝 불편한 점은 어쩔 수 없는 것 같아요 ! 그래도 색상이 맘에 들어서 만족합니다"
2022-10-18,사진과 비슷한 색입니다 실제로 받아보니 생각보다 파랗네요! 큰 키에도 애매하지 않은 기장이라 마음에 듭니다. 옷은 만족스럽지만 냄새는 심각하네요 당일날 받아서 바로 입기는 힘든 정도입니다..!
2022-10-14,"10월7일에 베이지 사고 예뻐서 10월13일에 아이보리 샀는데
금액 2천원 더 올랐고 할인쿠폰금액은 1천원 더 줄었어영ㅜ.
그렇다고 올린 금액이 비싸다 생각하는 건 아니구용,
예쁜 인기상품이니까 금액 올려도 납득되는데
잠깐 사이에 금액차이 날 줄 알았으면 한번에 두개 사버릴 껄
하는 아쉬움이 좀 있네영ㅎ.
잘 샀다는 생각은 전이나 이번이나 마찬가집니당ㅎ. 예뻐용ㅎ:)
사진 뒤에 있는 게 베이지, 앞에 있는 게 아이보리"
2022-10-13,"아이보리 너무 마음에 들어서 블랙도 샀어요ㅎ
딱 몇천원 더 세일하길래 고민하지않거 바로 질렀습니다ㅋㅋㅋ
너무 에뻐요 핏이 촤르륵? 떨어져서 부해보이지도 않고 기장도 마음에 들고 무엇보다 투웨이가 제일 맘에 들어요 
블랙이 아이보리보다 살짝 지퍼가 뻑뻑하긴 한데 괜찮아요"
2022-10-12,"사진이랑 색 달라요! 진짜 예쁜 푸른계열 색상이에요!
좀 더 촘촘할 줄 알았는데 생각보다 바람이 송송 들어와서 좀 더 날씨 따뜻했을 때 입었으면 좋았을 것 같아요 ㅠㅠ
하지만 너무 이쁘니까...더 추워지면 패딩 안에 입고 다니려구요!
재입고 기다려서 산 건데 후회되진 않아요!

+ 다만 처음 옷에서 새옷 냄새랄까 공장냄새가 좀 심해서 당일에 입으려고 사시는 분들은 이 점 주의하세용"
2022-10-12,너무 예뻐요!! 색감도 좋고 퀄리티도 예상외로 너무 좋습니다!! 다만 팔길이가 너무 길다는 단점은 있지만 그것도 그거대로 귀여워요!! 니트라서 조금 무거운 감은 있어요 ㅠㅠ 어깨 라인이 확실히 드러나서 어깨에 콤플렉스 있으신 분들은 비추천입니다. 가을 겨울 잘 입고다닐게요!
2022-10-10,"크.. 왜 리뷰맛집인지 알겠네용..🫶🏻 
짜임이 촘촘해서 쉽게 늘어지지더않고 탄탄히 잘 잡혀있고 울코스 모드로 세탁해서 입었더니 보풀도 안생기고 냄새도 바로 잡혔네여!! 
그러고보니 오늘 입은 착장모두 데일리쥬🫶🏻
올 가을겨울도 데일리쥬🫶🏻"
2022-10-10,이 디자인 옷은 대부분 크롭 기장으로 나와서 키가 큰 편이라 사기 부담스러웠는데 기장도 길게 나오고 팔 부분도 넉넉히 나와서 그냥 사버렸어요 베이지 색상은 옷 냄새가 별로 안 나서 밖에 한 시간 정도 내놓으니까 냄새가 없어졌는데 그레이는 아무리 내놔도 냄새가 심해서 안 빠져요.. 근데 이 옷 진짜 성공입니다 이뻐요 ㅠ🫶🏻 아 제 키가 176이라 기장은 엉덩이를 덮진 않고 골반 딱 덮을 정도로 옵니다
2022-10-07,"직진이었는데 하루~이틀정도 더 걸렸던거 같아요🥲
그래도 옷은 이뻐요!! 근데 니트재질이라 그런지? 조금 무거운감이 있는거같아요
지퍼는 처음 열때만 좀 뻑뻑하고 그뒤론 괜찮네요!
키작은 77사이즈라 이 옷이 맞을지 고민 엄청하고 후기도 정말 많이보다가 샀는데 잘산거같아요 :)"
2022-09-30,너무. 예뻐요ㅜㅜㅜㅠ 생각보다 핏도 너무 예쁘고 새 옷 냄새? 공장냄새? 가 심하게 나지만 세탁해서 입으면 괜츈할 듯 함니다. 아래 지퍼가 살짝 불안불안 하긴 헌데 조심해서 입으면 괜츈할 듯 함니다
2022-09-30,"후기나 쇼핑몰사진, 제 후기사진에도 잠그고 입었지만ㅋㅋㅋ 안에 반팔입고 청바지에 오픈해서 운동화랑 입으면 세상 여리여리걸이 없더라구요
생각보다 옷이 무겁고 두꺼워요 추워지면 정말 잘 입고다닐 것 같아요 근데 냄새 쩜ㅋㅋ"
2022-09-28,"생각보다 두툼하네요 ㅋㅋ 지금입긴 덥고 밤엔 괜찮아요~
지퍼가 근데 첨에 고장인줄알았어요 밑에께 안내려가서 ;
제키가 172인데 엉덩이 반까지오고 요정님들은 좀 길수도있어요
부해보이는건 잘 모르겠네요 사자마자 세일때려서 빡치긴했지만  잘입을거같아서 ㄱㅊ"
2022-09-27,"날씨가 선선해지려고 하길래 이런 니트집업 찾다가 이뻐서 구매하게 되었어요 직진배송 답게 빨리 와서 좋앗구요 다른색으로 또 구매할려구요! 자크쪽에 실밥만 좀 정리해주면 다른곳은 하자 없구 자크는 제가 좀 더 익숙해져야될거같아요🙂 투웨이자크라 여러 스타일링이 가능해서 좋았어요! 근데 가격 좀만 내려주세요 비싸용,,,🥲🥲"
2022-09-27,펑퍼짐하게 입고 싶어서 샀는데 키 작은 저에겐 진짜 큰 옷이네요 소매가 길어서 소매 끝 부분이 안으로 들어 가구요 총 기장은 팔 길이 비해 짧아요 저와 키 비슷하면 참고 하시면 좋을 거 같아요
2022-09-27,"사진이 너무 고급스럽게 나온건지 예상보다 재질이 거칠고 지퍼가 조금 퍽퍽해요 
새거라 냄새가 너무나서 두번은 세탁했어요..
색도 화면보다 조금 밝아요
그래도 길이감이랑 무게감은 좋아요 조금만 도 추워지면 아웃터로 입기 좋을것 같아요"
2022-09-27,지퍼로 된 파랑색 가디건이 너무 갖고 싶어서 구매했어요! 엄청 쨍한파랑은 아니지만 오히려 그게 더 좋은것 같아요! 크기는 제 남칭구도 입을 수 있을 정도로 펑퍼짐하고 저는 오버핏이에용! 소매가 넓어서 좋구 쫙쫙 잘 늘어납니다 보풀은 울세탁으로 하니까 안나용
2022-09-22,어깡된다 팔 크다 이런 말이 많긴 했고 사실이긴 한데... 원래 어깡이었어서 별 생각이 없고 옷 예쁘긴 해요! 다만 투웨이 지퍼치곤 허접해서 지퍼 잘 다뤄야할듯
2022-09-14,"일단 ..냄새 때메 냄새 빠지고 입어야할거같아요.. 회사에 방글라데시 외국인 연구원 계신데 그분이 몸에서 농축된 겨땀냄새가 진동을 하거든요...근데 포장 뜯고 진짜 그 냄새랑 너무 똑같은 냄새가 나서 PTSD 옴여.... 냄새빠지고, 좀 더 추워지면 입을게욤.. 핏이랑 두께는 맘에들어욤 근데 확실히 촘촘한 짜임이 아니라서 좀 조심하면서 입어야할거같긴 하네욤"
2022-09-14,"아방아방 와방이쁜 오버핏 집업❤️
컬러는 진짜 색연필에 있는 그레이 컬러!!
완전 이쁜 컬러에여 !!
아쉬운점은 옷이 죠큼 무겁고 지퍼가 뻑뻑하더라구요 ㅠ 니트니까 무거울수있지만 지퍼가 아쉬웠습니다!
엄청 이뻐요 !!!!"
2022-09-09,이제 곧 추워질 날씨에 대비해서 입으려고 샀어용 생각보다 팔쪽 품이 컸는데 나름 더 아방해보이고 이쁜거같아요!!!! 근데 다른 리뷰에서도 말씀해주셨다시피 지퍼가 좀 ㅠㅠ 싼티가 납니다 투웨이로 입고 나서 벗을때 좀 불편해요
2022-09-07,디테일하게 뜯어 보면 퀄리티가 아주 좋은 건 아니지만 입었을 때 날씬해 보이고 예뻐요~~ 베이지 샀는데 화면보다는 밝더라고요 그치만 그래서 오히려 좋았어요! 사진처럼 니트로 입어도 예쁘고!! 크기가 넉넉해서 좀 더 추워지면 아우터로 입어도 좋을 것 같았습니다!!
2022-09-05,기본 95사이즈 입는데 약간 오버핏이에요! 평소에 크게 입는거 좋아하는데 딱 이쁜 사이즈인것 같아요~ 색감도 따듯하고 가을에 잘 입을 것 같아요. 그런데 약간 지퍼가 뻑뻑하네요. 품질도 보세치고는 괜찮은것같아요. 맨살에 입었더니 약간의 까글함은 있었는데 크게 신경쓰이진 않는 정도에요! 만족합니다.
2022-09-01,"마감이 좋지는 않습니다만 크게 신경쓰지 않으시는 분들은 괜찮을 것 같아요.
소매가 생각보다 더 벙벙해서 팔이 짧은 편은 아닌데도 소매가 접히는 일이 있더라구요.. 그러면 핏이 안예뻐지니 꼭 소매 길게 내고 다니시길
또 몸통이 벙벙한데 소재 자체가 듬성듬성 큰 실을 엮어둔 느낌이라 아래 시보리가 잘 잡아주지는 않아서 그걸 원하시는 분들은 별로일 것 같아요. 가성비가 좋다는 느낌은 들지 않지만 한철 무난하게 입고다닐 귀여운 옷 찾으시면 잘 입으실 수 있습니다."
2022-04-02,이런 스타일의 가디건 가지고 싶었는데 잘 산 거 같아요! 팔 부분이 많이 오버핏이긴 한데 아방해서 귀엽긴 해요. 보풀이 많이 생기는 옷이라 조심 하셔야 하고 넉넉한 오버핏이라 좋네요.
2022-03-25,"옷 개이뻐요 진짱 ,, 후기에 지퍼 너무 뻑뻑하고 팔도 너무 길고 옷도 엄청크다해서 고민 진ㅉㅏ 진짜 많이 했는데 역시 고민은 배송을 늦출뿐 이라는 말이 진짜네요 .. 
키가 작은데도 팔 전혀 안길고 한번 접으니까 딱 좋구용 총기장도 완전 딱 오버핏 !!! 원하던 길이고 지퍼 진짜 잘 돼요 개굿굿 고밍말고 사세요 진짱"
2022-03-25,"넘 예뻐요ㅠㅠ 봄 가을에 입기 찰떡,, 사진을 막찍어서 그렇지 회색 색상도 예쁘고 화면이랑 비슷?하거나 좀 더 밝은 느낌? 근데 진짜 예쁘고 꽤 도톰하지만 지금은 긴팔에 입는게 좋을거같아용"
2022-03-25,"생각보다 큰데 낙낙해서 몇겹껴입어도
될거같은...생각보다얇고 원단은 부드러워요
완전 탄탄한감은 없는데 핏이 그거대로 흐물하게
잡혀서 핏 자체는 아주 만족스럽습니당
원단이 잘 피지도않고 좋으네요"
2022-03-22,"키가 큰데도 길이도 딱맞고 오버핏으로 딱 이뻤어요 !! 지퍼가 뻑뻑하다는 말씀들도 많으셨는데 저는 많이 부드러워서 열고닫을때 큰 어려움이 없었습니당☺️
아 그리고 부해보이거나 이런것도 없었어요!
사진은 앉아서 찍은것 뿐이네요 ㅠㅠ"
2022-03-22,색감은 좀 더 탁하다고 해야 하나...? 탁한 베이지? 느낌이고 많이 두꺼울 줄 알았는데 많이 안 두꺼워서 어디든 입고 가도 될 거 같아요!그리고 후기에 제일 많이 보인게 팔 길이 였는데 저한테도 길긴 하더라구요 근데 많이 보기 않좋게 긴건 아니라 맘에 들어요!
2022-03-14,"직진배송으로 시켰지만 당일 배송이 안 되었어요^^,,
하지만 옷은 너무 예뻐요! 지퍼가 뻑뻑하다는 얘기가 있어서 걱정하긴 했지만 생각보다 괜찮아요!
팔이 넉넉하다고해서 많이 넓을까..? 싶었는데 제가 딱 좋아하는 정도라 만족스러워요
다른 색도 또 사고싶어요~~!"
2022-03-14,팔통이 엄청 크긴해요 부해보인다는 후기가 많아서 걱정했는데 검정색이라 그런가? 저한테는 별로 부해보이진 않았어요 그렇다고 여리여리 해보이진 않았는데 직진배송이라 배송도 엄청 빨랐고 저는 만족했습니다!
2022-03-08,배송도 한 이틀?밖에 안걸리고 딱히 옷에서 냄새두 안났구 구멍이 좀 크다고 느껴졌었는데 입고 있으면 꽤 따뜻해요. 투웨이인것도 패션 센스있는거처럼 느껴져셔 좋습니당 몸이 조금 커보이긴하지만 이 부분은 팔꿈치까지 소매 걷으면 꽤 커버되는거 같아요 다음엔 검정도 구매하고 싶습니당~
2022-03-02,"유니**로 입어도 괜찮을 것 같아
남자친구 키171 몸무게64
잘 맞았어요 ㅎㅎ 저도 입었는데 박시하게 핏이 너무 이뻤구요 ~!ㅎㅎ 여기서 반집업 구매한적이 있어 또 구매하게 됬는데 너무 만족스럽네용 ~ 잘입을께요!"
2022-03-01,"퀄리티: 최최상 아주 쫀쫀하고 좋습니다
색상: 사진과 일치합니다
무게: 옷 무거워요 진짜 딱 드는 순간 엌 무겁다 싶습니다
핏: 아방하고 예뻐요 그래서 무거워도 그냥 입고 댕깁니다

결론> 사세요!"
2022-03-01,"리뷰 쓰는 현재
키 - 166
몸무게 100

상의 바스트가 커서 걱정을 많이 했는데 지퍼가 뻑뻑한 것 빼고는 다 괜찮았어요. 지퍼 다 잠궈서 입어도 되고 좀 열어서 입어도 되고요! 마음에 듭니다"
2022-02-25,"생각부다 팔이 길거든요?
근데 사진처럼 소매 한두번 접어 입으면
오히려 귀여움 예쁨 ..
안에 흰 티 입고 위아래로 살짝씩 열어재껴주면 굿
전체적으로 아방아방하니 예쁨 사세요 ㄱ ㄱ"
2022-02-24,예뻐요! 색감도 적당한 베이지고 좀 크긴한데 상체에 살이 그렇게 많은 편은 아니라 뭐 그렇게 부해보이진 않았던 것 같아요! 예쁜옷 너무 감사합니당-! 첨부한 사진보단 좀 더 노란끼 도는 베이지입니당!
2022-02-19,헐 대박 완전 이뻐요 생각보다 훨씬 이쁜데요? 개뚱뚱이라 안맞을까봐 진짜 걱정 많이햇는데 완전 여유로워요 특히 팔부분이 많이 큽니다 마감처리도 별로라고했는데 생각보다 괜찮고 냄새도 안나요 잘입을게요ㅠㅠ
2022-02-19,"생각 이상으로 크네요..? 놀랐어요.. 제가 키도 덩치도 있는 편이라 맨날 팔 짧고 어깨 낑기고 그냥 작고 이랬는데 제가 많이 널널하게 입을 수 있어서 좋네요 블루로 하나 더 사고 싶어요,, 아니 전색상 모으고 싶다 ㅠㅠ 어깨 많이 넓고 팔다리 긴편인데도 쭉 내려 입었을 때 손등 조금 안되게 덮어요. 키 작고 좀 여리여리하신 분들이 입으면 많이 클 것 같아요! 저같은 체형이면 정말 최고로 만족하실듯..."
2022-02-12,이런 니트집업을 사고싶어서 고심해서 골랐는데 잘산거같아요!! 체격이체격인지라 걱정했는데 잘맞고 체격이 작아보이기까지해서 좋아요 얇지않아서 봄에 이거하나만 입어도  괜찮을거같네요 팔소매 긴거는 감안하고 산거라 괜찮았고 소매끝처리가 잘되어있어 손까지 내려올일이없어서 만족합니다 아래 지퍼가 뻑뻑한게 아쉽긴한데 그래도 괜찮았어요
2022-02-11,"블루컬러 이틀 입고 
직진배송 블랙으로 또 질렀습니다,,💗
후회 없습니다 다들 고민은 사치!
( 이번 상품은 비닐 뜯김도 없고, 실밥도 덜 풀려서 와서 너무 좋네요! 감사합니다🙇🏻‍♀️🙇🏻‍♀️ )"
2022-02-11,"생각보다 많이 여유가 남고 기장 제 키 기준 엉덩이 반정도는 덮어주는 기장이었어요.
봄까지 입을 수 있을것같아서 너무 만족스러워요!
생각보다 많이 두툼하지는 않아요:)"
2022-02-10,어디든지 휘뚜루마뚜루 입기 좋아요.. 근데 생각보다 얇아서 겨울은 물론 가을에 단독으로 입기는 추울듯... 니트 구멍으로 바람이 다 느껴져요 ㄷㄷ 지퍼는 생각보다 뻑뻑하긴 한ㄷㅔ 신경쓰일정도는아니구요 가격대비 퀄리티가 구리다고 생각되지만 핏이 예뻐서 만족합니다 👏👏
2022-02-05,전신 샷이 없어서 별 도움은 안되시겠지만 팔이 저렇게 ..뭔가 되어있음 2014년 감성마냥 가오리 핏이 될 수도 근데 이쁨 ..네 이뻐요…네네..사세요 다들 전 후회는 안 했슴다 ㅋ 근데 봄에 입으면 더 예쁜 옷이긴 함  가볍게 입으려고 샀는데 꾸안꾸 가능합니다
2022-01-24,"팔이 특출나게 짧은편이라 소매가 웃겨요
그치만 편하구 넉넉해서 만족합니다! 
수술하고 20kg 넘게 쪄서 예쁘게 맞는 옷이 없었는데
아주 맘에들어요b
체격있으신 분들도 안심하고 구매하셔도 될듯 해요
가격은 살짝 비싼가? 싶은데 같은 투웨이 니트집업들은 죄다 반크롭기장에 딱붙어서, 겉옷으로 좋습니다"
2022-01-24,"생각보다 팔이 많이 길었어요ㅠㅠ안그래도 품이 큰 옷인데 소매 길이까지 길어서 전체적으로 물방울같은 모양의 핏이 나와요.. 긋치만.. 소매 접어입으면 좀 괜찮더라구요
다른 후기들 처럼 실밥이 많이 튀어나와 있고 마감이 아쉬운 부분이 있긴 하지만 잘라내고 입으려구요
지금부터 봄까지 잘 입을 것 같아요"
2022-01-21,"170키에 어깨도 넓고 덩치도 좀 있습니다. 
다른데는 다 짧거나 작아보여서 고심끝에 여기서 샀는데 완전 만족해요! 니트소재라서 부해보이는건 어쩔수 없지만 안에 붙는 옷 입고 입어주면 ㄱㅊ을것 같아요. 
오랜만에 맘에 드는 옷 사서 기분이 좋네요 ㅎㅎㅎ"
2022-01-15,베이지 구매하려고 고민하던 순간 하나만 남아있었는지 누가 먼저 사버려서 품절됐길래 아쉬운대로 그레이 주문했는데 생각보다 더 예쁘네요 완전 그레이가 아니라 연보라빛 살짝 섞인 그레이인데 쿨톤이라 색감도 잘 받고 뭔가 베이지보다 더 시크한 느낌이 있는 것 같아요. 핏도 너무 예쁘고 지퍼 퀄리티도 무난무난한 것 같습니다. 계속 입어보고 괜찮으면 베이지 컬러도 마저 구매하려구요 !
2022-01-03,"저렴하게 잘 산것같아요 ~!!! 
따뜻하진 않구 봄가을에 입으면 좋을 것 같아용 ㅎㅎ 
그래도 너무 이쁘고 색감도 생각보단 밝지만 너무 이쁜 컬러라 오 히 려 좋 아 . 
제가 키도 크고 넓고 둥근 어깨라서 평소에 박시한 니트 입으면 덩치가 산만해 보이는데 이 옷은 소매쪽이 좀 더 부풀려진? 느낌이라 날씬해보여서 좋아용 ㅋㅋ"
2021-12-29,요즘같은 추위에 딱인 집업 니트라서 안에 흰색 기본반팔티에 밑에  일자핏바지랑 매칭하면 예뻐요 봄가을엔 아우터 없이 요것만 입어도 딱이라 여름빼고 계절별로 입을수있는 장점 또한 좋은것같아요 한가지 퀄리티면에서 아쉬운게 있다면 지퍼가 매끄럽지 않아요 조금 걸려서 잘 안잠기는 경향이 있어요 아주 조금의 아쉬움이에요
2021-12-28,지퍼가 살짝 가벼운 느낌이라 그 부분은 좀 그렇지만 그걸 빼면 나머지는 다 좋아요! 지퍼를 풀어서 입어도 예쁘고 닫고 살짝만 열어도 예쁘고 이 위에 따뜻하게 패딩입도 실내에서는 이것만 입고 있어도 될 거 같아요! 근데 올 나갈까봐 살짝 두려운 재질이긴 해요! 조심해서 입으면 될 거 같아요
2021-12-24,퀄리티 좋아요! 은근 도톰하고 따뜻해요 길이도 적당하고 상체통통이라 많이 부해보이면 어쩌나했는데 색상 특성상 조금 부해보이는 감은 있지만 핏도 괜찮고 부담스럽지 않아서 좋았어요!! 너무 누르딩딩한 아이보리색상 아니라서 더욱 좋았네요 ㅎㅎ
2021-12-24,까끌할줄 알았는데 부드러워요 마감이 아쉽긴 해요 안쪽에 실 보푸라기 같은게 몇개 나와있지만 핏도 이쁘고 색도 쨍한 원색이람니두ㅜㅜ 너무 예붜여 아래 사진보다 훨씬 쨍합니다 채도가 훨 높아요…..
2021-12-14,날씨가 많이 추워져서 아우터 안에 입으려고 구매했어요! 짜임도 되게 촘촘하고 보풀 안 일어날 것 같은 재질이라 넘 맘에 들어요 화면이랑 색도 거의 똑같고 고민하다가 샀는데 고민은 배송을 늦출 뿐....
2021-12-10,"우선 생각보다 엄청 두툼해서 좋아요 !!!
다만 색상때문에 고민 많이했는데, 완전 남색은 아니고 조금 어두운 파란색 같아서 아쉬워요. 그리고 팔이 엄청엄첟업청 낙낙합니당.
그리고 올이 조금 풀린 부분이 있었고 실밥이 좀 많이 붙어왔어요!"
2023-04-17,"사이즈도 넉넉해서 안에 옷 입고 입기 편하고 
입었을 때 엉덩이 조금 가리는 정도입니당 
지퍼도 낭낭하니 편해요 ! 퀄리티도 생각했던 거 보다 좋아서 놀랬음"
2023-04-04,핏도 예쁘고 소재도 탄탄합니다! 기장도 적당해서 짧은 치마랑 입기도 좋고 청바지랑 입기도 딱 좋습니다!! 데일리템으로 여기저기 입기 완전 좋아요!
2023-04-02,핏이 딱 생각했던 느낌이라 잘 입고 있어요! 바람이 잘 통해서 아직 입기 좀 춥긴한데 루즈한 핏이라 딱 예뻐요 지퍼가 두 개라 연출하기도 좋아요
2023-03-06,루즈핏으로  이뻐용 활용도도 좋은것같아요 굳굳입니당 오픈해서 입어도 좋고 위아래로 오픈해서 입으면 더 이쁜것 같아요 만족합니당
