날짜,리뷰
2020-07-09,그냥 그래용... 핏도 그냥 그렇고ㅠㅠㅠ 기대를 너무 많이했나봐여 여기서 많이 샀는데 이건 그냥 그렇네용
2022-03-05,"가격에 비해 퀄리티 너무 좋아요
기모도 두득히 들어가 있어요"
2022-02-19,오버핏은 아니고 적당한 사이즈인듯 예쁘게잘입을게요
2021-11-21,재질도 그렇고 브랜드 제품이라 좋을 것 같아 구매했는데 마음에 들어요 다만 실밥 정리 하나도 안하시나봐요^^  너무 많아서 놀랐네요ㅋㅋㅋ 그래도 브랜드인데 정리좀 해서 판매하시면 좋겠어요~
2022-02-03,"퀄리티는 기대한만큼 좋습니당 :)
오트밀 맨투맨이랑 조거팬츠가 필요했는데 맨투맨은 만족합니다!!
다만 하의는 허벅지랑 와이존이 너무 부각되는 것 같아 핏이 별로네요 ㅠㅠㅠ
조거팬츠는 첫구매라 저한테 안 어울리는 것 같기도 하고...!!
핏 제외하고 다 만족합니다 😂"
2022-01-28,"퀄리티 정말 좋고, 상의가 특히나 이뻐요. 기모도 진짜고, 재질도 좋네요. 원단이 탄탄합니다. 다만, 하의가 특히 기모가 많이 들어서 두께감 있고, 주머니쪽도 같이 두꺼워져서 좀 튀어나오는 게 아쉽네요. 바지는 길이가 긴 편은 아니고 건조기 돌리면 줄어들거 감안해서 1-2사이즈.업 추천드립니다."
2021-11-28,"지난번 후기와 마찬가지로 마감상태가 별로예요 그럼에도 구매한 이유는 재질이 좋고 편해서 구매했어요
브랜드인 만큼 마감 신경써주셨으면 좋겠고 안에 기모가 빠져서 입기전 옷을 뒤집어서 세탁한 후 입으시길 추천드려요!"
2021-11-20,다 좋았는데 좀 사이즈가 커서 그랬던 건가 굉장히 아주많이 부해보이는 바지핏이었어요 제가 169에 60인데 웬만한 여성분들은 무조건 s사세요 키 작으신 분들은 이것도 클 듯 상의는 부해보이는 느낌도 없고 사진처럼 소매에 포인트 컬러가 정말 맘에 들었어요 이것 역시 좀 크긴했지만ㅎㅎ
2023-01-13,후기대로 루즈한 핏이에요! 평소 통통 55인데도 여유 있더라고요~그래도 편하고 예뻐서 만족해요! 외출할때 자주 입게 돼요
2021-12-21,"머 저는 그렇게 예쁜 핏은 아니었어요
바지가 이렇게 클 줄 몰라서 …ㅠ s으로 샀음 더 예뻤을 것 같아요 상의 디테일이 넘 귀여워서 단독으로 잘 입구 다녀요 듈다 기모가 있어서 따뜻해요"
2021-12-09,편하게 입으려고 구매했어요~ 사이즈가 좀 크긴 하네요 그래도 카라가 예뻐서 구입했어요~ 안에 기모가 있어서 두껍네요 좀 부해 보이긴 하지만 따뜻해서 좋아요
2021-12-02,제일 작은걸로 구매했는데 약간 커요ㅠㅠ 그래서 핏이 약간 어벙하긴 하지만 겨울에 따뜻하고 편하게 입을 수 있을것 같아요! 특히 손목에 로고가 포인트로 있어서 너무 예뻐요!!
2023-02-11,도움드리고자..전 170 / 56다른사람들은 말랐다고 해요. 다리가 얇은 편은 아닌데 너~~~무 컸어요. 그래서 난감하던 차에  164/ 62? 저희 엄마 66입으시는데 오버핏이긴 하나 잘 맞더라구요?? 제일 작은 사이즈로 했는데.. 66 입는 분들이 입으시면 예쁜 핏 살릴 수 있늘 것 갘아요
2022-12-12,"배송 지인짜 느리네요 거의 한달만에 받았어요 
색감이나 이런건 화면과 같고
사이즈는 생각보다 더더 큽니다  저한텐 넘 클거 같아요 ㅜ
옷 자체는 맘에 드는데 배송 너무하네여.."
